m,c,error
1.31,10.01,25.342148
1.32,10.02,24.907058
1.33,10.03,24.478764
1.34,10.04,24.057629
1.35,10.05,23.644035
1.36,10.06,23.238387
1.37,10.07,22.841106
1.38,10.08,22.452636
1.39,10.09,22.073444
1.4,10.1,21.704015
1.41,10.11,21.344857
1.42,10.12,20.996496
1.43,10.13,20.659478
1.44,10.14,20.334368
1.45,10.15,20.021745
1.46,10.16,19.722204
1.47,10.17,19.43635
1.48,10.18,19.164794
1.49,10.19,18.908153
1.5,10.2,18.667042
1.51,10.21,18.44207
1.52,10.22,18.233834
1.53,10.23,18.042915
1.54,10.24,17.869866
1.55,10.25,17.715213
1.56,10.26,17.579439
1.57,10.27,17.462986
1.58,10.28,17.366242
1.59,10.29,17.289539
1.6,10.3,17.233143
1.61,10.31,17.197254
1.62,10.32,17.182002
1.62,10.33,17.178018
1.62,10.34,17.174039
1.62,10.35,17.170064
1.62,10.36,17.166095
1.62,10.37,17.16213
1.62,10.38,17.15817
1.62,10.39,17.154216
1.62,10.4,17.150266
1.62,10.41,17.146321
1.62,10.42,17.142381
1.62,10.43,17.138446
1.62,10.44,17.134515
1.62,10.45,17.13059
1.62,10.46,17.12667
1.62,10.47,17.122755
1.62,10.48,17.118844
1.62,10.49,17.114939
1.62,10.5,17.111038
1.62,10.51,17.107143
1.62,10.52,17.103252
1.62,10.53,17.099367
1.62,10.54,17.095486
1.62,10.55,17.09161
1.62,10.56,17.08774
1.62,10.57,17.083874
1.62,10.58,17.080013
1.62,10.59,17.076157
1.62,10.6,17.072307
1.62,10.61,17.068461
1.62,10.62,17.06462
1.62,10.63,17.060784
1.62,10.64,17.056953
1.62,10.65,17.053128
1.62,10.66,17.049307
1.62,10.67,17.045491
1.62,10.68,17.04168
1.61,10.69,17.037813
1.61,10.7,17.033712
1.61,10.71,17.029615
1.61,10.72,17.025523
1.61,10.73,17.021437
1.61,10.74,17.017355
1.61,10.75,17.013278
1.61,10.76,17.009205
1.61,10.77,17.005138
1.61,10.78,17.001076
1.61,10.79,16.997018
1.61,10.8,16.992966
1.61,10.81,16.988918
1.61,10.82,16.984876
1.61,10.83,16.980838
1.61,10.84,16.976805
1.61,10.85,16.972777
